time_myr,z3_chabrier,z3_topheavy,z6_chabrier,z6_topheavy,z9_chabrier,z9_topheavy
3.000000000000000000e+01,1.045335802172796936e+11,8.143268647622286377e+11,1.268025567950436249e+11,9.878043811769617920e+11,1.087730066985387115e+11,8.473524137551724854e+11
3.050000000000000000e+01,1.085806128607992554e+11,8.445330937829832764e+11,1.312303464561631317e+11,1.020701279637448364e+12,1.117863179376357727e+11,8.694668637716217041e+11
3.100000000000000000e+01,1.127114187778895264e+11,8.753025617369525146e+11,1.357249544503665924e+11,1.054022756613033203e+12,1.148088412680458527e+11,8.915908783829913330e+11
3.150000000000000000e+01,1.169261904659160156e+11,9.066347032310455322e+11,1.402856954633643494e+11,1.087762111868884155e+12,1.178393319719559326e+11,9.137151167383837891e+11
3.200000000000000000e+01,1.212251128881028137e+11,9.385289080691740723e+11,1.449118789508214722e+11,1.121912648936905029e+12,1.208765686543397064e+11,9.358304668688802490e+11
3.250000000000000000e+01,1.256083636470759125e+11,9.709845227196011963e+11,1.496028094955184326e+11,1.156467677452296875e+12,1.239193532622121887e+11,9.579280438769718018e+11
3.300000000000000000e+01,1.300761133185394287e+11,1.004000852518667725e+12,1.543577873482248535e+11,1.191420516317231689e+12,1.269665112449852753e+11,9.799991887758658447e+11
3.350000000000000000e+01,1.346285254915210571e+11,1.037577162431853149e+12,1.591761086112341309e+11,1.226764495093504150e+12,1.300168914069002991e+11,1.002035465824649658e+12
3.400000000000000000e+01,1.392657570783096924e+11,1.071712679079378662e+12,1.640570657369282532e+11,1.262492956857726807e+12,1.330693660115919800e+11,1.024028661054750977e+12
3.450000000000000000e+01,1.439879583104629822e+11,1.106406591250539062e+12,1.689999476482706909e+11,1.298599259223300781e+12,1.361228305681757050e+11,1.045970779275685547e+12
3.500000000000000000e+01,1.487952730722239990e+11,1.141658051980795898e+12,1.740040402524566650e+11,1.335076777170086182e+12,1.391762039309769592e+11,1.067854042546072388e+12
3.550000000000000000e+01,1.536878388834707947e+11,1.177466178968583008e+12,1.790686265361654358e+11,1.371918903879958008e+12,1.422284280530325012e+11,1.089670887019828979e+12
3.600000000000000000e+01,1.586657872666964111e+11,1.213830056750910156e+12,1.841929871056500244e+11,1.409119053597634521e+12,1.452784680908324890e+11,1.111413961416712891e+12
3.650000000000000000e+01,1.637292437087293701e+11,1.250748736984942383e+12,1.893764002473412781e+11,1.446670662239726074e+12,1.483253121192678833e+11,1.133076123689323730e+12
3.700000000000000000e+01,1.688783279413098755e+11,1.288221240173745850e+12,1.946181423555683899e+11,1.484567189655799805e+12,1.513679711339718628e+11,1.154650439010478271e+12
3.750000000000000000e+01,1.741131539444206543e+11,1.326246556108607666e+12,1.999174880335532837e+11,1.522802120367195801e+12,1.544054787912440491e+11,1.176130176566421387e+12
3.800000000000000000e+01,1.794338301739643250e+11,1.364823645314147949e+12,2.052737104497478027e+11,1.561368965437360596e+12,1.574368913445974731e+11,1.197508807249653809e+12
3.850000000000000000e+01,1.848404596298388977e+11,1.403951439752202881e+12,2.106860815053223572e+11,1.600261263456614014e+12,1.604612874301072998e+11,1.218780000672667236e+12
3.900000000000000000e+01,1.903331399950140381e+11,1.443628843831143066e+12,2.161538720794378662e+11,1.639472581852208496e+12,1.634777679094684448e+11,1.239937622452001953e+12
3.950000000000000000e+01,1.959119638049805908e+11,1.483854735528367676e+12,2.216763523042917786e+11,1.678996518297448242e+12,1.664854557319217834e+11,1.260975731580769531e+12
4.000000000000000000e+01,2.015770184684576111e+11,1.524627966843139648e+12,2.272527916671872864e+11,1.718826701334444336e+12,1.694834956628889465e+11,1.281888577225941406e+12
4.050000000000000000e+01,2.073283865139451904e+11,1.565947365224437500e+12,2.328824593647369995e+11,1.758956792077615723e+12,1.724710542006070557e+11,1.302670596362141602e+12
4.100000000000000000e+01,2.131661454655918579e+11,1.607811733372093750e+12,2.385646242351183777e+11,1.799380484058342773e+12,1.754473191759393005e+11,1.323316410040762207e+12
4.150000000000000000e+01,2.190903682205742798e+11,1.650219851199246826e+12,2.442985552516329346e+11,1.840091505481718506e+12,1.784114997687947693e+11,1.343820821480762695e+12
4.200000000000000000e+01,2.251011230105010376e+11,1.693170475975749756e+12,2.500835215439209595e+11,1.881083619411614502e+12,1.813628261714277344e+11,1.364178812642609863e+12
4.250000000000000000e+01,2.311984734079957581e+11,1.736662342672093018e+12,2.559187924692399597e+11,1.922350624171866455e+12,1.843005492918760986e+11,1.384385541007269043e+12
4.300000000000000000e+01,2.373824786770466614e+11,1.780694165741296143e+12,2.618036380618338623e+11,1.963886355322782715e+12,1.872239407303097229e+11,1.404436337523984619e+12
4.350000000000000000e+01,2.436531936152629395e+11,1.825264638739765625e+12,2.677373289146378174e+11,2.005684685217742188e+12,1.901322923434739380e+11,1.424326702834298584e+12
4.400000000000000000e+01,2.500106686953036499e+11,1.870372435208962158e+12,2.737191363915370789e+11,2.047739523947565186e+12,1.930249160505891724e+11,1.444052304542024902e+12
4.450000000000000000e+01,2.564549503314263916e+11,1.916016210053056396e+12,2.797483329719012451e+11,2.090044820802977783e+12,1.959011437303359680e+11,1.463608974871332275e+12
4.500000000000000000e+01,2.629860807205486755e+11,1.962194599143183594e+12,2.858241921255236206e+11,2.132594563775117432e+12,1.987603267859654236e+11,1.482992706970602295e+12
4.550000000000000000e+01,2.696040981654369812e+11,2.008906220902737549e+12,2.919459887127214355e+11,2.175382781209422607e+12,2.016018360815802612e+11,1.502199652770787109e+12
4.600000000000000000e+01,2.763090368308598022e+11,2.056149675561770020e+12,2.981129987642377930e+11,2.218403540905739746e+12,2.044250614463358459e+11,1.521226119096781006e+12
4.650000000000000000e+01,2.831009271262041626e+11,2.103923546958139160e+12,3.043244999396782227e+11,2.261650951972756836e+12,2.072294116519071960e+11,1.540068565732269287e+12
4.700000000000000000e+01,2.899797956519265137e+11,2.152226402550808838e+12,3.105797715090703125e+11,2.305119164724046875e+12,2.100143140591674194e+11,1.558723602158434814e+12
4.750000000000000000e+01,2.969456652180336304e+11,2.201056793725324707e+12,3.168780944119226074e+11,2.348802370884852539e+12,2.127792143223322144e+11,1.577187984555444092e+12
4.800000000000000000e+01,3.039985551682994995e+11,2.250413257304563477e+12,3.232187516402940063e+11,2.392694805072542480e+12,2.155235763123287659e+11,1.595458613697823242e+12
4.850000000000000000e+01,3.111384810792928467e+11,2.300294314568834473e+12,3.296010279513986206e+11,2.436790743602768066e+12,2.182468815903289795e+11,1.613532531087563232e+12
4.900000000000000000e+01,3.183654550002573853e+11,2.350698472423645020e+12,3.360242101575165405e+11,2.481084505584933105e+12,2.209486292737682495e+11,1.631406916675445312e+12
4.950000000000000000e+01,3.256794857276148682e+11,2.401624224668102539e+12,3.424875874461599121e+11,2.525570454095964844e+12,2.236283359188731689e+11,1.649079086651980225e+12
5.000000000000000000e+01,3.330805785667409668e+11,2.453070051259019531e+12,3.489904511561500244e+11,2.570242995224606934e+12,2.262855350464538879e+11,1.666546489873928223e+12
5.050000000000000000e+01,3.405687353349026489e+11,2.505034418531223145e+12,3.555320948104440918e+11,2.615096578130890137e+12,2.289197768439836121e+11,1.683806705018752441e+12
5.100000000000000000e+01,3.481439549295216064e+11,2.557515781562348145e+12,3.621118147363795776e+11,2.660125697331017090e+12,2.315306282471055603e+11,1.700857439207558105e+12
5.150000000000000000e+01,3.558062326795993042e+11,2.610512581873982910e+12,3.687289094113995361e+11,2.705324890095217773e+12,2.341176721999963379e+11,1.717696523510565430e+12
5.200000000000000000e+01,3.635555611274282837e+11,2.664023250583996582e+12,3.753826802999470215e+11,2.750688739526892090e+12,2.366805078782023010e+11,1.734321912150747803e+12
5.250000000000000000e+01,3.713919293536370850e+11,2.718046206027037598e+12,3.820724311735650024e+11,2.796211871879398438e+12,2.392187499442665710e+11,1.750731678063527832e+12
5.300000000000000000e+01,3.793153238028752441e+11,2.772579857025982910e+12,3.887974689840264282e+11,2.841888959719441895e+12,2.417320287916134338e+11,1.766924012207735352e+12
5.350000000000000000e+01,3.873257276415466919e+11,2.827622600649649414e+12,3.955571032182573853e+11,2.887714719386163574e+12,2.442199898328606262e+11,1.782897219316424805e+12
5.400000000000000000e+01,3.954231211414559937e+11,2.883172823811467773e+12,4.023506463112098389e+11,2.933683912409544434e+12,2.466822934582552185e+11,1.798649716185657715e+12
5.450000000000000000e+01,4.036074818841072998e+11,2.939228904168232910e+12,4.091774138679067993e+11,2.979791346183951660e+12,2.491186148718099060e+11,1.814180029516470215e+12
5.500000000000000000e+01,4.118787844974121704e+11,2.995789209301399902e+12,4.160367244082662964e+11,3.026031872887628906e+12,2.515286436378656311e+11,1.829486792722312012e+12
5.550000000000000000e+01,4.202310567398964233e+11,3.052820594948564941e+12,4.229219174060150146e+11,3.072368685761729492e+12,2.539084920180817261e+11,1.844549709577764160e+12
5.600000000000000000e+01,4.286304708508908081e+11,3.110142636972580078e+12,4.297984942692879639e+11,3.118617814734274902e+12,2.562377879552287903e+11,1.859261353820852783e+12
5.650000000000000000e+01,4.370711381369241943e+11,3.167723536839994141e+12,4.366603700805776367e+11,3.164746447925320801e+12,2.585135541058444214e+11,1.873606830741362061e+12
5.700000000000000000e+01,4.455524473280682983e+11,3.225559511355133301e+12,4.435068013460364380e+11,3.210750137298772461e+12,2.607360472935656738e+11,1.887588413764551758e+12
5.750000000000000000e+01,4.540737983287842407e+11,3.283646842766285645e+12,4.503370662836369629e+11,3.256624564829370117e+12,2.629055417105674744e+11,1.901208471312360352e+12
5.800000000000000000e+01,4.626346018695445557e+11,3.341981876844196777e+12,4.571504641822348022e+11,3.302365538837824219e+12,2.650223279653650513e+11,1.914469461298663818e+12
5.850000000000000000e+01,4.712342791741010132e+11,3.400561021042076660e+12,4.639463147864811401e+11,3.347968990465018066e+12,2.670867121725641479e+11,1.927373925861510010e+12
5.900000000000000000e+01,4.798722616414995117e+11,3.459380742732706055e+12,4.707239577061824341e+11,3.393430970278167480e+12,2.690990150824699402e+11,1.939924486321108643e+12
5.950000000000000000e+01,4.885479905419929199e+11,3.518437567518389648e+12,4.774827518488002930e+11,3.438747645002290039e+12,2.710595712486000671e+11,1.952123838353042725e+12
6.000000000000000000e+01,4.972609167260780029e+11,3.577728077609959961e+12,4.842220748738745728e+11,3.483915294370770996e+12,2.729687282312550964e+11,1.963974747366721924e+12
6.050000000000000000e+01,5.060105003459205322e+11,3.637248910271145508e+12,4.909413226682286377e+11,3.528930308089179199e+12,2.748268458354229431e+11,1.975480044079696289e+12
6.100000000000000000e+01,5.147962105884913330e+11,3.696996756324903809e+12,4.976399088408902588e+11,3.573789182906858398e+12,2.766342953813839722e+11,1.986642620278964111e+12
6.150000000000000000e+01,5.236175254197758179e+11,3.756968358718514160e+12,5.043172642367396240e+11,3.618488519791160156e+12,2.783914590064844971e+11,1.997465424760863525e+12
6.200000000000000000e+01,5.324739313394712524e+11,3.817160511144526367e+12,5.109728364679380493e+11,3.663025021199455078e+12,2.800987289966325073e+11,2.007951459441637695e+12
6.250000000000000000e+01,5.413649231456062012e+11,3.877570056714620117e+12,5.176060894622791138e+11,3.707395488444423340e+12,2.817565071461497803e+11,2.018103775631139160e+12
6.300000000000000000e+01,5.502900037085715332e+11,3.938193886683859375e+12,5.242165030276187134e+11,3.751596819148256836e+12,2.833652041446965332e+11,2.027925470462594238e+12
6.350000000000000000e+01,5.592486837540769043e+11,3.999028939222836426e+12,5.308035724316406250e+11,3.795626004781852539e+12,2.849252389900409546e+11,2.037419683471629395e+12
6.400000000000000000e+01,5.682404816545742188e+11,4.060072198235354004e+12,5.373668079962067871e+11,3.839480128285072754e+12,2.864370384255349121e+11,2.046589593318223633e+12
6.450000000000000000e+01,5.772649232287182617e+11,4.121320692219458008e+12,5.439057347056277466e+11,3.883156361764564453e+12,2.879010364011958008e+11,2.055438414645469727e+12
6.500000000000000000e+01,5.863215415484775391e+11,4.182771493169833496e+12,5.504198918282061768e+11,3.926651964265736816e+12,2.893176735573657227e+11,2.063969395069393799e+12
6.550000000000000000e+01,5.954098767534979248e+11,4.244421715519514160e+12,5.569088325504471436e+11,3.969964279615639648e+12,2.906873967299722290e+11,2.072185812294356934e+12
6.600000000000000000e+01,6.045294758723828125e+11,4.306268515119135742e+12,5.633721236233701172e+11,4.013090734333795898e+12,2.920106584764580688e+11,2.080090971348821777e+12
6.650000000000000000e+01,6.136798926505490723e+11,4.368309088252041016e+12,5.698093450203834229e+11,4.056028835608056641e+12,2.932879166215034180e+11,2.087688201936518555e+12
6.700000000000000000e+01,6.228606873843459473e+11,4.430540670683508789e+12,5.762200896062093506e+11,4.098776169332803711e+12,2.945196338217030029e+11,2.094980855898314941e+12
6.750000000000000000e+01,6.320714267611422119e+11,4.492960536742677734e+12,5.826039628163901367e+11,4.141330398206922852e+12,2.957062771484025879e+11,2.101972304780260742e+12
6.800000000000000000e+01,6.413116837051027832e+11,4.555565998435609375e+12,5.889605823469145508e+11,4.183689259889109375e+12,2.968483176879415283e+11,2.108665937503546143e+12
6.850000000000000000e+01,6.505810372283953857e+11,4.618354404588207031e+12,5.952895778535372314e+11,4.225850565208179688e+12,2.979462301585831299e+11,2.115065158132288818e+12
6.900000000000000000e+01,6.598790722875742188e+11,4.681323140017615234e+12,6.015905906603928223e+11,4.267812196426268066e+12,2.990004925434457397e+11,2.121173383735227539e+12
6.950000000000000000e+01,6.692053796449116211e+11,4.744469624730912109e+12,6.078632734775045166e+11,4.309572105552705566e+12,3.000115857387864990e+11,2.126994042337640625e+12
7.000000000000000000e+01,6.785595557344532471e+11,4.807791313149907227e+12,6.141072901268466797e+11,4.351128312706734863e+12,3.009799932170164795e+11,2.132530570959900879e+12
7.050000000000000000e+01,6.879412025325903320e+11,4.871285693360948242e+12,6.203223152765931396e+11,4.392478904527099609e+12,3.019062007038554688e+11,2.137786413739304443e+12
7.100000000000000000e+01,6.973499274329483643e+11,4.934950286388683594e+12,6.265080341832377930e+11,4.433622032626741211e+12,3.027906958690604248e+11,2.142765020131909912e+12
7.150000000000000000e+01,7.067853431254093018e+11,4.998782645492768555e+12,6.326641424412733154e+11,4.474555912090908203e+12,3.036339680301907959e+11,2.147469843191288330e+12
7.200000000000000000e+01,7.162470674790850830e+11,5.062780355486622070e+12,6.387903457401312256e+11,4.515278820017060547e+12,3.044365078688994751e+11,2.151904337921244141e+12
7.250000000000000000e+01,7.257347234290786133e+11,5.126941032077276367e+12,6.448863596281035156e+11,4.555789094095026367e+12,3.051988071592488403e+11,2.156071959699616455e+12
7.300000000000000000e+01,7.352479388668702393e+11,5.191262321225486328e+12,6.509519092829809570e+11,4.596085131225921875e+12,3.059213585075964355e+11,2.159976162770523682e+12
7.350000000000000000e+01,7.447863465341802979e+11,5.255741898525317383e+12,6.569867292891491699e+11,4.636165386178476562e+12,3.066046551035869751e+11,2.163620398802348145e+12
7.400000000000000000e+01,7.543495839201625977e+11,5.320377468602412109e+12,6.629905634209077148e+11,4.676028370281355469e+12,3.072491904818336792e+11,2.167008115509065186e+12
7.450000000000000000e+01,7.639372931617962646e+11,5.385166764530184570e+12,6.689631644317742920e+11,4.715672650150297852e+12,3.078554582938717651e+11,2.170142755332465576e+12
7.500000000000000000e+01,7.735491209473380127e+11,5.450107547263283203e+12,6.749042938495629883e+11,4.755096846448763672e+12,3.084239520899907837e+11,2.173027754183000488e+12
7.550000000000000000e+01,7.831847184227274170e+11,5.515197605087666016e+12,6.808137217770189209e+11,4.794299632680974609e+12,3.089551651105748291e+11,2.175666540237053711e+12
7.600000000000000000e+01,7.928437411008103027e+11,5.580434753086576172e+12,6.866912266978145752e+11,4.833279734016206055e+12,3.094495900865841675e+11,2.178062532788536621e+12
7.650000000000000000e+01,8.025258487732796631e+11,5.645816832621911133e+12,6.925365952877235107e+11,4.872035926143344727e+12,3.099077190488352051e+11,2.180219141152768066e+12
7.700000000000000000e+01,8.122307054252292480e+11,5.711341710830347656e+12,6.983496222307692871e+11,4.910567034154531250e+12,3.103300431457496948e+11,2.182139763620721436e+12
7.750000000000000000e+01,8.219579791522092285e+11,5.777007280133670898e+12,7.041301100402034912e+11,4.948871931457111328e+12,3.107170524692509766e+11,2.183827786461745605e+12
7.800000000000000000e+01,8.317073420797014160e+11,5.842811457762842773e+12,7.098778688841265869e+11,4.986949538712831055e+12,3.110692358885072021e+11,2.185286582972994141e+12
7.850000000000000000e+01,8.414784702849108887e+11,5.908752185295243164e+12,7.155927164155965576e+11,5.024798822803386719e+12,3.113870808912261353e+11,2.186519512573833984e+12
7.900000000000000000e+01,8.512710437207895508e+11,5.974827428204624023e+12,7.212744776070842285e+11,5.062418795821565430e+12,3.116710734322229614e+11,2.187529919943575195e+12
7.950000000000000000e+01,8.610847461422143555e+11,6.041035175423330078e+12,7.269229845891168213e+11,5.099808514087065430e+12,3.119216977889878540e+11,2.188321134200918701e+12
8.000000000000000000e+01,8.709192650342347412e+11,6.107373438916374023e+12,7.325380764929757080e+11,5.136967077186229492e+12,3.121394364240018311e+11,2.188896468123642578e+12
8.050000000000000000e+01,8.807742915423090820e+11,6.173840253266852539e+12,7.381195992973201904e+11,5.173893627034971680e+12,3.123247698535435791e+11,2.189259217406991211e+12
8.100000000000000000e+01,8.906495204044743652e+11,6.240433675272442383e+12,7.436674056785998535e+11,5.210587346964132812e+12,3.124781765227527466e+11,2.189412659959387451e+12
8.150000000000000000e+01,9.005446498853569336e+11,6.307151783552457031e+12,7.491813548651464844e+11,5.247047460826615234e+12,3.126001326867236328e+11,2.189360055234128662e+12
8.200000000000000000e+01,9.104593817119786377e+11,6.373992678165212891e+12,7.546613124948095703e+11,5.283273232125537109e+12,3.126911122973981934e+11,2.189104643595688232e+12
