time_myr,r_over_R0,radius_cm,velocity_km_s,pressure_erg_cm3,sfr_msun_yr,gas_msun,formed_msun,incident_shell_msun,central_gas_msun,other_shell_msun,halo_msun,gravity_dyne,accretion_dyne,pressure_dyne,uv_dyne,lya_dyne,sn_per_myr,uv_erg_s,lya_erg_s,shell_temperature_K,force_multiplier,shell_loading_msun_myr
1.365000000000000000e+02,2.645138938386254690e+00,1.036866928323471606e+21,-1.018265475482317584e+01,2.120694261873305229e-11,0.000000000000000000e+00,2.670360151937406883e+07,2.452417822951637208e+04,2.670360151937406883e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.700433518307664692e+08,-2.063704559667765634e+32,-2.627994781401508071e+30,2.865061642641567462e+32,2.268739621651099314e+22,3.787149131332142303e+27,0.000000000000000000e+00,2.789522477623422655e+38,8.942568506874806130e+35,1.000000000000000000e+04,1.269611461205798406e+02,1.039524812018988450e+05
1.370000000000000000e+02,2.602944220270268172e+00,1.020988637709034455e+21,-9.938971389078357532e+00,2.288517056828763556e-11,0.000000000000000000e+00,2.675562832995558903e+07,2.452417822951637208e+04,2.675562832995558903e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.703743444845888019e+08,-2.102606391570699999e+32,-2.799072315863717068e+30,2.997821953220561925e+32,2.334875241723149995e+22,3.788873116961020621e+27,0.000000000000000000e+00,2.778173498910444929e+38,8.852303885616167916e+35,1.000000000000000000e+04,1.283141201952538779e+02,1.041548267052895098e+05
1.375000000000000000e+02,2.561837489361201925e+00,1.005516352483234546e+21,-9.667850818201717544e+00,2.467621434384867421e-11,0.000000000000000000e+00,2.680775641172425076e+07,2.452417822951637208e+04,2.680775641172425076e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.707059814219758809e+08,-2.141894584988589996e+32,-2.988851042686495369e+30,3.135210274023566270e+32,2.402253049778070671e+22,3.790504294655726306e+27,0.000000000000000000e+00,2.766977317223352553e+38,8.763744751515547291e+35,1.000000000000000000e+04,1.296665559956981610e+02,1.043575660780930775e+05
1.380000000000000000e+02,2.521929042337327509e+00,9.904942020495430124e+20,-9.368250906172251646e+00,2.657847502618217157e-11,0.000000000000000000e+00,2.685998596180635318e+07,2.452417822951637208e+04,2.685998596180635318e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.710382638970381320e+08,-2.181441811517992608e+32,-3.198124831712224488e+30,3.276753700379066173e+32,2.470520771751954507e+22,3.791634116522102665e+27,0.000000000000000000e+00,2.755850540290521229e+38,8.676235498215844927e+35,1.000000000000000000e+04,1.310134230292121345e+02,1.045607000869839685e+05
1.385000000000000000e+02,2.483332824249304238e+00,9.759678630640047882e+20,-9.039258761824353172e+00,2.858759925278225456e-11,0.000000000000000000e+00,2.691231717771193385e+07,2.452417822951637208e+04,2.691231717771193385e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.713711931663269997e+08,-2.221101430343236256e+32,-3.427607998222755347e+30,3.421831217944937732e+32,2.539347960690052904e+22,3.792148237389063188e+27,0.000000000000000000e+00,2.744803334279747942e+38,8.589837077842907708e+35,1.000000000000000000e+04,1.323491273332420519e+02,1.047642295001289021e+05
1.390000000000000000e+02,2.446165820973935645e+00,9.619843253422445036e+20,-8.680129608038425815e+00,3.069593158680284886e-11,0.000000000000000000e+00,2.696475025733546540e+07,2.452417822951637208e+04,2.696475025733546540e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.717047704888398647e+08,-2.260706850999821029e+32,-3.677908792149376974e+30,3.569658527461245502e+32,2.608335340053854369e+22,3.791871255140110082e+27,0.000000000000000000e+00,2.733833799456195200e+38,8.504492806297770665e+35,1.000000000000000000e+04,1.336675131474261775e+02,1.049681550871898362e+05
1.395000000000000000e+02,2.410547290894182293e+00,9.485915935789926318e+20,-8.290329147977672619e+00,3.289197586671680056e-11,0.000000000000000000e+00,2.701728539895663038e+07,2.452417822951637208e+04,2.701728539895663038e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.720389971260248423e+08,-2.300071358290134097e+32,-3.949500264871175855e+30,3.719275678972894444e+32,2.677013198256505199e+22,3.790616287721634710e+27,0.000000000000000000e+00,2.722929880115253756e+38,8.420141830482843754e+35,1.000000000000000000e+04,1.349618803470604576e+02,1.051724776193269645e+05
1.400000000000000000e+02,2.376597824280741733e+00,9.358383200527691284e+20,-7.869578484617668401e+00,3.515990746254915820e-11,0.000000000000000000e+00,2.706992280124107003e+07,2.452417822951637208e+04,2.706992280124107003e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.723738743417853713e+08,-2.338988524717739979e+32,-4.242689106582342329e+30,3.869539071885633261e+32,2.744903759165755333e+22,3.788350552521814949e+27,0.000000000000000000e+00,2.712132386641321774e+38,8.337080207170045213e+35,1.000000000000000000e+04,1.362250207128190311e+02,1.053771978692014527e+05
1.405000000000000000e+02,2.344438223541996713e+00,9.237733653126436618e+20,-7.417900219188620525e+00,3.747918930593507579e-11,0.000000000000000000e+00,2.712266266324114054e+07,2.452417822951637208e+04,2.712266266324114054e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.727094034024851620e+08,-2.377233335844288735e+32,-4.557583343190258153e+30,4.019119552896466255e+32,2.811410367940489380e+22,3.784809789085511273e+27,0.000000000000000000e+00,2.701418949351635746e+38,8.255099363139420695e+35,1.000000000000000000e+04,1.374492758741181149e+02,1.055823166109785379e+05
1.410000000000000000e+02,2.314188203963573720e+00,9.124452863741096100e+20,-6.935663890517569818e+00,3.982435349386423962e-11,0.000000000000000000e+00,2.717550518439663947e+07,2.452417822951637208e+04,2.717550518439663947e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.730455855769529939e+08,-2.414564143502976239e+32,-4.894060104790359168e+30,4.166508404703223683e+32,2.875837738840821334e+22,3.779606578477579109e+27,0.000000000000000000e+00,2.690726674371278281e+38,8.173737141746675615e+35,1.000000000000000000e+04,1.386266192299680142e+02,1.057878346203304245e+05
