family,mass_msun,status,t_sf_myr,t_quench_myr,quench_lower_bound_myr,max_r_over_R0,wall_seconds
fig5_f01,146779926762.20676,numerical_failure,,,,,0.1328992024064064
fig5_f01,215443469003.18777,numerical_failure,,,,,0.13935626670718193
fig5_f01,316227766016.83795,numerical_failure,,,,,0.1746358498930931
fig5_f01,464158883361.2773,numerical_failure,,,,,0.16330493241548538
fig5_f01,681292069057.9595,numerical_failure,,,,,0.17844976857304573
fig5_f01,1000000000000.0,numerical_failure,,,,,0.20248965919017792
fig5_f01,1467799267622.0676,not_launched_within_window,,,,1.0,0.23116984590888023
fig5_f01,2154434690031.878,not_launched_within_window,,,,1.0,0.2316511608660221
fig5_f01,3162277660168.3794,not_launched_within_window,,,,1.0,0.227129764854908
fig5_f01,4641588833612.772,not_launched_within_window,,,,1.0,0.23754382133483887
fig5_f01,6812920690579.595,not_launched_within_window,,,,1.0,0.23334568366408348
fig5_f01,10000000000000.0,not_launched_within_window,,,,1.0,0.2204768918454647
fig5_f1,100000000.0,numerical_failure,,,,,0.0594218410551548
fig5_f1,146779926.76220676,numerical_failure,,,,,0.05766152963042259
fig5_f1,215443469.00318867,numerical_failure,,,,,0.058375004678964615
fig5_f1,316227766.01683795,numerical_failure,,,,,0.06332475319504738
fig5_f1,464158883.3612773,numerical_failure,,,,,0.062059059739112854
fig5_f1,681292069.0579622,numerical_failure,,,,,0.060123756527900696
fig5_f1,1000000000.0,numerical_failure,,,,,0.06586823239922523
fig5_f1,1467799267.6220675,numerical_failure,,,,,0.06925373151898384
fig5_f1,2154434690.0318866,numerical_failure,,,,,0.07271663099527359
fig5_f1,3162277660.1683793,numerical_failure,,,,,0.07199491560459137
fig5_f1,4641588833.612773,numerical_failure,,,,,0.07597667723894119
fig5_f1,6812920690.579622,numerical_failure,,,,,0.0809856653213501
fig5_f1,10000000000.0,numerical_failure,,,,,0.08243855088949203
fig5_f1,14677992676.220675,numerical_failure,,,,,0.0818781889975071
fig5_f1,21544346900.31878,numerical_failure,,,,,0.09066955745220184
fig5_f1,31622776601.683792,numerical_failure,,,,,0.09524175152182579
fig5_f1,46415888336.12772,numerical_failure,,,,,0.09647991508245468
fig5_f1,68129206905.795944,numerical_failure,,,,,0.10394251346588135
fig5_f1,100000000000.0,numerical_failure,,,,,0.11257779970765114
fig5_f1,146779926762.20676,numerical_failure,,,,,0.10987953096628189
fig5_f1,215443469003.18777,numerical_failure,,,,,0.11161009594798088
fig5_f1,316227766016.83795,numerical_failure,,,,,0.10696711391210556
fig5_f1,464158883361.2773,numerical_failure,,,,,0.12790783122181892
fig5_f1,681292069057.9595,numerical_failure,,,,,0.11212007328867912
fig5_f1,1000000000000.0,numerical_failure,,,,,0.10965733230113983
fig5_f1,1467799267622.0676,numerical_failure,,,,,0.11837693676352501
fig5_f1,2154434690031.878,numerical_failure,,,,,0.12683099880814552
fig5_f1,3162277660168.3794,numerical_failure,,,,,0.1275717169046402
fig5_f1,4641588833612.772,numerical_failure,,,,,0.14310554414987564
fig5_f1,6812920690579.595,numerical_failure,,,,,0.1379665769636631
fig5_f1,10000000000000.0,numerical_failure,,,,,0.16012904047966003
fig5_mc1,100000000.0,numerical_failure,,,,,0.27254753187298775
