time_myr,analytic_z6_msun,z3_chabrier_growth1,z3_chabrier_growth0,z3_topheavy_growth1,z3_topheavy_growth0,z6_chabrier_growth1,z6_chabrier_growth0,z6_topheavy_growth1,z6_topheavy_growth0,z9_chabrier_growth1,z9_chabrier_growth0,z9_topheavy_growth1,z9_topheavy_growth0
2.100000000000000000e+01,4.759281955466036987e+10,4.735892034304914856e+10,4.924856330659999847e+10,3.802229788867937012e+11,3.953205426813221436e+11,6.535648980205931854e+10,7.670102195395826721e+10,5.248652230460790405e+11,6.155005732905021973e+11,7.010174428848052979e+10,1.039960526252074280e+11,5.634054110060695801e+11,8.342264788879138184e+11
2.150000000000000000e+01,5.025134683084863281e+10,5.007324822072734833e+10,5.211992770221222687e+10,4.012921526478328857e+11,4.176137076208959961e+11,6.894965099739338684e+10,8.123110320491325378e+10,5.527318886745980225e+11,6.506684092213369141e+11,7.359905019147143555e+10,1.102377997259259491e+11,5.904751739690809326e+11,8.826761982064479980e+11
2.200000000000000000e+01,5.299211539127682495e+10,5.287362710122882080e+10,5.508629433797939301e+10,4.229796458516710815e+11,4.405920957528117676e+11,7.264465500582072449e+10,8.591581365994433594e+10,5.813219183858939209e+11,6.869538181678991699e+11,7.716860267974435425e+10,1.167008166900241089e+11,6.180374268370972900e+11,9.327289426968431396e+11
2.250000000000000000e+01,5.581571347847158051e+10,5.576064908563426208e+10,5.814854304663184357e+10,4.452875552242410889e+11,4.642597613887115479e+11,7.644155444657369995e+10,9.075685338692535400e+10,6.106327888462243652e+11,7.243654302367846680e+11,8.080907463232992554e+10,1.233880056693218842e+11,6.460798874434504395e+11,9.844006202469072266e+11
2.300000000000000000e+01,5.872272017982645416e+10,5.873489300074670410e+10,6.130754279832530212e+10,4.682178799186403809e+11,4.886206696064099731e+11,8.034037836971821594e+10,9.575590998255335999e+10,6.406618312699881592e+11,7.629117570786457520e+11,8.451912408887762451e+10,1.303022616537325287e+11,6.745902507903945312e+11,1.037707028011031738e+12
2.350000000000000000e+01,6.171370576893779755e+10,6.179692682207501221e+10,6.456415419370709991e+10,4.917725362780985718e+11,5.136787113323105469e+11,8.434113576071675110e+10,1.009146624611121826e+11,6.714062529959190674e+11,8.026012152497951660e+11,8.829739845652182007e+10,1.374464777946985474e+11,7.035562144734810791e+11,1.092663884059241333e+12
2.400000000000000000e+01,6.478923202711859131e+10,6.494730704017880249e+10,6.791922874853849792e+10,5.159533555594059448e+11,5.394377005467509766e+11,8.844381488842373657e+10,1.062347800761545868e+11,7.028631358640880127e+11,8.434421213526739502e+11,9.214253441390623474e+10,1.448235437376235657e+11,7.329654800109213867e+11,1.149286820108734863e+12
2.450000000000000000e+01,6.794985254663643646e+10,6.818657797517838287e+10,7.137360811911653137e+10,5.407620815114849243e+11,5.659013713191738281e+11,9.264838259549342346e+10,1.117179210419429626e+11,7.350294344393416748e+11,8.854426868806003418e+11,9.605315777203434753e+10,1.524363438038943787e+11,7.628057540274306641e+11,1.207591373796598145e+12
2.500000000000000000e+01,7.119611301707121277e+10,7.151527435168638611e+10,7.492812677015155029e+10,5.662003854497265625e+11,5.930733933219870605e+11,9.695478796180372620e+10,1.173657367191045532e+11,7.679019976780297852e+11,9.286110423991815186e+11,1.000278876978419800e+11,1.602877627590579529e+11,7.930647727609259033e+11,1.267593021689159424e+12
2.550000000000000000e+01,7.452855149605554199e+10,7.493391979775334167e+10,7.858361034466804504e+10,5.922698593013863525e+11,6.209573641244915771e+11,1.013629604812091064e+11,1.231798689840593567e+11,8.014775609145236816e+11,9.729552249157951660e+11,1.040653353916791992e+11,1.683806821273853760e+11,8.237302964918806152e+11,1.329307161256506836e+12
2.600000000000000000e+01,7.794769866554318237e+10,7.844302843571142578e+10,8.234087730055061340e+10,6.189720251468129883e+11,6.495568189199023438e+11,1.058728123801596375e+11,1.291619527875881500e+11,8.357527599264116211e+11,1.018483192946018799e+12,1.081641068852911530e+11,1.767179837176973877e+11,8.547901258835041504e+11,1.392749131342389160e+12
2.650000000000000000e+01,8.145407807464611816e+10,8.204310440192848206e+10,8.620073836012524414e+10,6.463083336701401367e+11,6.788752285484046631e+11,1.104842381566665192e+11,1.353136152404861145e+11,8.707241300921304932e+11,1.065202823003787476e+12,1.123228030435755310e+11,1.853025483244330750e+11,8.862321032627945557e+11,1.457934206842177979e+12
2.700000000000000000e+01,8.504820636998739624e+10,8.573464263646781921e+10,9.016399730496731567e+10,6.742801692793554688e+11,7.089160045904013672e+11,1.151971158094599304e+11,1.416364768407275696e+11,9.063881144064968262e+11,1.113121917352231934e+12,1.165400212172932739e+11,1.941372574126232300e+11,9.180441225009779053e+11,1.524877609078864502e+12
2.750000000000000000e+01,8.873059351443388367e+10,8.951812888310333252e+10,9.423145093618586731e+10,7.028888510191044922e+11,7.396825000192366943e+11,1.200113070087654877e+11,1.481321513742753601e+11,9.427410658376922607e+11,1.162248204704462158e+12,1.208143558280016785e+11,2.032249929581175232e+11,9.502141331326763916e+11,1.593594506385120605e+12
2.800000000000000000e+01,9.250174299499830627e+10,9.339403996514193726e+10,9.840388932810026550e+10,7.321356348908198242e+11,7.711780113563245850e+11,1.249266576299539185e+11,1.548022462845311890e+11,9.797792515173654785e+11,1.212589343330314941e+12,1.251443992900528870e+11,2.125686379433957520e+11,9.827301461253073730e+11,1.664100018060197266e+12
