mass_msun,alpha1.35_mc0.2,alpha1.35_mc5,alpha1.35_mc10,alpha2.35_mc0.2,alpha2.35_mc5,alpha2.35_mc10
1.041814404486737927e-01,4.145008962155404680e-02,1.938814501339038023e-213,0.000000000000000000e+00,2.965170986561324717e+00,4.930806111797833240e-211,0.000000000000000000e+00
1.049277518417810473e-01,4.239771205790128505e-02,4.991330217275050603e-211,0.000000000000000000e+00,3.011387748066817860e+00,1.260369715206038124e-208,0.000000000000000000e+00
1.056794094913144355e-01,4.335112412071861349e-02,1.206350220892422823e-208,0.000000000000000000e+00,3.057205354409605391e+00,3.024510205594999958e-206,0.000000000000000000e+00
1.064364516955741691e-01,4.430993437735109702e-02,2.739170000239361535e-206,0.000000000000000000e+00,3.102596833289610334e+00,6.818684918024332242e-204,0.000000000000000000e+00
1.071989170272130698e-01,4.527374665635147677e-02,5.847374559793339033e-204,0.000000000000000000e+00,3.147535697379924446e+00,1.445248542566309352e-201,0.000000000000000000e+00
1.079668443352020946e-01,4.624216049061157657e-02,1.174366271084910952e-201,0.000000000000000000e+00,3.191995972104031409e+00,2.881941663525493996e-199,0.000000000000000000e+00
1.087402727468095992e-01,4.721477156148916332e-02,2.220485163840323760e-199,0.000000000000000000e+00,3.235952222131840639e+00,5.410401339076266148e-197,0.000000000000000000e+00
1.095192416695950216e-01,4.819117214312535619e-02,3.955408464662271192e-197,0.000000000000000000e+00,3.279379576570423449e+00,9.569140576985230409e-195,0.000000000000000000e+00
1.103037907934166922e-01,4.917095154616515917e-02,6.642446802463388702e-195,0.000000000000000000e+00,3.322253752829135820e+00,1.595547254614646635e-192,0.000000000000000000e+00
1.110939600924542026e-01,5.015369656011496591e-02,1.052322610440047588e-192,0.000000000000000000e+00,3.364551079142631185e+00,2.509750086662714922e-190,0.000000000000000000e+00
1.118897898272450953e-01,5.113899189359202152e-02,1.573770042955477999e-190,0.000000000000000000e+00,3.406248515738909077e+00,3.726686328846180519e-188,0.000000000000000000e+00
1.126913205467362372e-01,5.212642061174377339e-02,2.223255739397851473e-188,0.000000000000000000e+00,3.447323674643174574e+00,5.227222399280197774e-186,0.000000000000000000e+00
1.134985930903498891e-01,5.311556457013971722e-02,2.968754863222240630e-186,0.000000000000000000e+00,3.487754838111736255e+00,6.930361429950080891e-184,0.000000000000000000e+00
1.143116485900643881e-01,5.410600484446206199e-02,3.749504029899501069e-184,0.000000000000000000e+00,3.527520975693595240e+00,8.690712050366546501e-182,0.000000000000000000e+00
1.151305284725101241e-01,5.509732215534961924e-02,4.481903774557270649e-182,0.000000000000000000e+00,3.566601759920630776e+00,1.031440200397233164e-179,0.000000000000000000e+00
1.159552744610801850e-01,5.608909728777374676e-02,5.073550374253235177e-180,0.000000000000000000e+00,3.604977580630423617e+00,1.159293745120508814e-177,0.000000000000000000e+00
1.167859285780562112e-01,5.708091150435410516e-02,5.442401973346091337e-178,0.000000000000000000e+00,3.642629557928799056e+00,1.234730344212082076e-175,0.000000000000000000e+00
1.176225331467495860e-01,5.807234695204988029e-02,5.535589035221078072e-176,0.000000000000000000e+00,3.679539553802060325e+00,1.246939367175335806e-173,0.000000000000000000e+00
1.184651307936577386e-01,5.906298706168987972e-02,5.341878849108165897e-174,0.000000000000000000e+00,3.715690182391658158e+00,1.194745820911328525e-171,0.000000000000000000e+00
1.193137644506362671e-01,6.005241693983522783e-02,4.893736707931147796e-172,0.000000000000000000e+00,3.751064818946661106e+00,1.086731049385092205e-169,0.000000000000000000e+00
1.201684773570861897e-01,6.104022375249516102e-02,4.258532777077481257e-170,0.000000000000000000e+00,3.785647607471829712e+00,9.389478245718286134e-168,0.000000000000000000e+00
1.210293130621571817e-01,6.202599710024861435e-02,3.522133089984324780e-168,0.000000000000000000e+00,3.819423467091544122e+00,7.710583032680921283e-166,0.000000000000000000e+00
1.218963154269664395e-01,6.300932938435201136e-02,2.770311278876275027e-166,0.000000000000000000e+00,3.852378097151971215e+00,6.021573835119094907e-164,0.000000000000000000e+00
1.227695286268334629e-01,6.398981616344273649e-02,2.073367259754714684e-164,0.000000000000000000e+00,3.884497981085882845e+00,4.474635585192200527e-162,0.000000000000000000e+00
1.236489971535309068e-01,6.496705650047912561e-02,1.477385274528576529e-162,0.000000000000000000e+00,3.915770389066588919e+00,3.165739620959533349e-160,0.000000000000000000e+00
1.245347658175515460e-01,6.594065329958502530e-02,1.002820911713745653e-160,0.000000000000000000e+00,3.946183379479076603e+00,2.133559689312679509e-158,0.000000000000000000e+00
1.254268797503913513e-01,6.691021363249682885e-02,6.487906096678352570e-159,0.000000000000000000e+00,3.975725799238180258e+00,1.370521841457911770e-156,0.000000000000000000e+00
1.263253844068491505e-01,6.787534905434022825e-02,4.002893540122254024e-157,0.000000000000000000e+00,4.004387282985091723e+00,8.395671462267040901e-155,0.000000000000000000e+00
1.272303255673424560e-01,6.883567590849087869e-02,2.356491616382654762e-155,0.000000000000000000e+00,4.032158251194831067e+00,4.907352835969427425e-153,0.000000000000000000e+00
1.281417493402401964e-01,6.979081562030248209e-02,1.324376722537586865e-153,0.000000000000000000e+00,4.059029907228596024e+00,2.738374957457789054e-151,0.000000000000000000e+00
1.290597021642120867e-01,7.074039497951244149e-02,7.109511119134593965e-152,0.000000000000000000e+00,4.084994233365927485e+00,1.459557145241788546e-149,0.000000000000000000e+00
1.299842308105944588e-01,7.168404641116207787e-02,3.647343580420901303e-150,0.000000000000000000e+00,4.110043985852627202e+00,7.434607259126321899e-148,0.000000000000000000e+00
1.309153823857737986e-01,7.262140823489610097e-02,1.789146754262364739e-148,0.000000000000000000e+00,4.134172689001228918e+00,3.620989874911493669e-146,0.000000000000000000e+00
1.318532043335863824e-01,7.355212491252888229e-02,8.395927454745551538e-147,0.000000000000000000e+00,4.157374628381405479e+00,1.687135690861182817e-144,0.000000000000000000e+00
1.327977444377360650e-01,7.447584728379413876e-02,3.771059417473363875e-145,0.000000000000000000e+00,4.179644843138473398e+00,7.523929209707445405e-143,0.000000000000000000e+00
1.337490508242287490e-01,7.539223279021471658e-02,1.621982404405943859e-143,0.000000000000000000e+00,4.200979117478437885e+00,3.213123763188586511e-141,0.000000000000000000e+00
1.347071719638244514e-01,7.630094568705619862e-02,6.683910002062522032e-142,0.000000000000000000e+00,4.221373971358514332e+00,1.314655307180756096e-139,0.000000000000000000e+00
1.356721566745070495e-01,7.720165724334862589e-02,2.640145978513566631e-140,0.000000000000000000e+00,4.240826650422236277e+00,5.155956396218607739e-138,0.000000000000000000e+00
1.366440541239716810e-01,7.809404592998427097e-02,1.000108184334420661e-138,0.000000000000000000e+00,4.259335115218450873e+00,1.939225291874709201e-136,0.000000000000000000e+00
1.376229138321298506e-01,7.897779759591876114e-02,3.634914056451623544e-137,0.000000000000000000e+00,4.276898029743499308e+00,6.998023914329259198e-135,0.000000000000000000e+00
1.386087856736325785e-01,7.985260563252519206e-02,1.268158461656607944e-135,0.000000000000000000e+00,4.293514749345885839e+00,2.424123764790158352e-133,0.000000000000000000e+00
1.396017198804115345e-01,8.071817112616885836e-02,4.249001468050414027e-134,0.000000000000000000e+00,4.309185308032542849e+00,8.064327126496849957e-132,0.000000000000000000e+00
1.406017670442386569e-01,8.157420299909004524e-02,1.367834950777221370e-132,0.000000000000000000e+00,4.323910405215630526e+00,2.577596550523206222e-130,0.000000000000000000e+00
1.416089781193036468e-01,8.242041813869870059e-02,4.232638546074642119e-131,0.000000000000000000e+00,4.337691391938445662e+00,7.919402529359170303e-129,0.000000000000000000e+00
1.426234044248103072e-01,8.325654151540275161e-02,1.259546810291751074e-129,0.000000000000000000e+00,4.350530256618641012e+00,2.339890518811704285e-127,0.000000000000000000e+00
1.436450976475914243e-01,8.408230628910810800e-02,3.606084047835527258e-128,0.000000000000000000e+00,4.362429610346553410e+00,6.651461167487370563e-126,0.000000000000000000e+00
1.446741098447420215e-01,8.489745390454177254e-02,9.937253056955687771e-127,0.000000000000000000e+00,4.373392671775824248e+00,1.819900124396760939e-124,0.000000000000000000e+00
1.457104934462720436e-01,8.570173417556592455e-02,2.636903475358577097e-125,0.000000000000000000e+00,4.383423251642981633e+00,4.794854442090709175e-123,0.000000000000000000e+00
1.467543012577776917e-01,8.649490535866218022e-02,6.740711818704189366e-124,0.000000000000000000e+00,4.392525736951967019e+00,1.216989820461191838e-121,0.000000000000000000e+00
1.478055864631317995e-01,8.727673421577922253e-02,1.660676668225037730e-122,0.000000000000000000e+00,4.400705074858912269e+00,2.976913799086506181e-120,0.000000000000000000e+00
1.488644026271939980e-01,8.804699606674758205e-02,3.944702573659170488e-121,0.000000000000000000e+00,4.407966756291682664e+00,7.020942698512871420e-119,0.000000000000000000e+00
1.499308036985394776e-01,8.880547483147623045e-02,9.038019854335160676e-120,0.000000000000000000e+00,4.414316799337977493e+00,1.597182143446344525e-117,0.000000000000000000e+00
1.510048440122081503e-01,8.955196306215644497e-02,1.998205340441660580e-118,0.000000000000000000e+00,4.419761732434869472e+00,3.506075471150958068e-116,0.000000000000000000e+00
1.520865782924729626e-01,9.028626196570564699e-02,4.264721386919962283e-117,0.000000000000000000e+00,4.424308577391823150e+00,7.429708915884075285e-115,0.000000000000000000e+00
1.531760616556281096e-01,9.100818141669450578e-02,8.790202240276791540e-116,0.000000000000000000e+00,4.427964832278351359e+00,1.520477480308229072e-113,0.000000000000000000e+00
1.542733496127975945e-01,9.171753996100559525e-02,1.750397480236535515e-114,0.000000000000000000e+00,4.430738454206488264e+00,3.006199473920904259e-112,0.000000000000000000e+00
1.553784980727631881e-01,9.241416481048037035e-02,3.368791270088105618e-113,0.000000000000000000e+00,4.432637842037325804e+00,5.744539340153643749e-111,0.000000000000000000e+00
1.564915633448135113e-01,9.309789182881643421e-02,6.268724868904321008e-112,0.000000000000000000e+00,4.433671819039868289e+00,1.061354105676087019e-109,0.000000000000000000e+00
1.576126021416128786e-01,9.376856550898231280e-02,1.128283303366599417e-110,0.000000000000000000e+00,4.433849615529489974e+00,1.896702629603914497e-108,0.000000000000000000e+00
1.587416715820907376e-01,9.442603894242063145e-02,1.964966882931476479e-109,0.000000000000000000e+00,4.433180851512204868e+00,3.279716541052635650e-107,0.000000000000000000e+00
