time_myr,r_over_R0,radius_cm,velocity_km_s,pressure_erg_cm3,sfr_msun_yr,gas_msun,formed_msun,incident_shell_msun,central_gas_msun,other_shell_msun,halo_msun,gravity_dyne,accretion_dyne,pressure_dyne,uv_dyne,lya_dyne,sn_per_myr,uv_erg_s,lya_erg_s,shell_temperature_K,force_multiplier,shell_loading_msun_myr
2.300000000000000000e+02,2.179025217219505706e+00,9.642282194186028974e+20,7.661491238681610305e+00,2.526604677998480072e-11,0.000000000000000000e+00,3.842559798852197081e+07,2.451739566447772086e+04,3.842559798852197081e+07,0.000000000000000000e+00,0.000000000000000000e+00,2.446182187325235307e+08,-4.069373941899033311e+32,-2.231780066903566210e+31,2.951935303609295656e+32,2.089643172785301330e+22,9.756371221725267021e+26,0.000000000000000000e+00,1.544118135739073671e+38,1.957073997832055161e+35,1.000000000000000000e+04,1.494520142294832965e+02,1.495422814867951965e+05
2.310000000000000000e+02,2.228731506586562272e+00,9.875028576881702339e+20,7.080202886991391331e+00,2.238080598944503114e-11,0.000000000000000000e+00,3.857543145136934519e+07,2.451739566447772086e+04,3.857543145136934519e+07,0.000000000000000000e+00,0.000000000000000000e+00,2.455714537078163624e+08,-3.999312016734339978e+32,-2.187457955684606080e+31,2.742598970868387535e+32,1.990045939996255322e+22,9.494420127042181449e+26,0.000000000000000000e+00,1.536378941899334919e+38,1.931181158155578188e+35,1.000000000000000000e+04,1.473893598821733235e+02,1.501250219455267943e+05
2.320000000000000000e+02,2.273993344278225415e+00,1.008864464450891678e+21,6.450745176038704898e+00,2.006940278293254906e-11,0.000000000000000000e+00,3.872584878935896605e+07,2.451739566447772086e+04,3.872584878935896605e+07,0.000000000000000000e+00,0.000000000000000000e+00,2.465284032752718031e+08,-3.940098071423730374e+32,-2.138184885648979960e+31,2.566905988507141906e+32,1.904544490036067199e+22,9.254102547829895574e+26,0.000000000000000000e+00,1.528710008107477178e+38,1.905723752116294661e+35,1.000000000000000000e+04,1.455777704568740489e+02,1.507100332432403520e+05
2.330000000000000000e+02,2.314518621167678702e+00,1.028175715942783648e+21,5.782113039630198514e+00,1.821767334038934286e-11,0.000000000000000000e+00,3.887685227775146812e+07,2.451739566447772086e+04,3.887685227775146812e+07,0.000000000000000000e+00,0.000000000000000000e+00,2.474890819100142121e+08,-3.891246276380912399e+32,-2.084762626371909496e+31,2.420123111050284441e+32,1.831672170247272320e+22,9.034137132536846474e+26,0.000000000000000000e+00,1.521109897206786736e+38,1.880690901254194710e+35,1.000000000000000000e+04,1.440091072417130533e+02,1.512973242290033086e+05
2.340000000000000000e+02,2.350074375052686904e+00,1.045324904188519252e+21,5.081605702939302027e+00,1.673802388977088263e-11,0.000000000000000000e+00,3.902844420067379624e+07,2.451739566447772086e+04,3.902844420067379624e+07,0.000000000000000000e+00,0.000000000000000000e+00,2.484535041435752809e+08,-3.852307643521483194e+32,-2.027843601769774736e+31,2.298352523752034427e+32,1.770166089138997664e+22,8.833285530052305308e+26,0.000000000000000000e+00,1.513577296952788095e+38,1.856072038669992256e+35,1.000000000000000000e+04,1.426750862088199483e+02,1.518869037863665726e+05
2.350000000000000000e+02,2.380475599023823996e+00,1.060221120869886329e+21,4.355156013087003508e+00,1.556357849512525355e-11,0.000000000000000000e+00,3.918062685115373135e+07,2.451739566447772086e+04,3.918062685115373135e+07,0.000000000000000000e+00,0.000000000000000000e+00,2.494216845641133189e+08,-3.822891773730638651e+32,-1.967959496106982195e+31,2.198427903538821239e+32,1.718961779626328719e+22,8.650388929854687386e+26,0.000000000000000000e+00,1.506110923226816066e+38,1.831856864564445984e+35,1.000000000000000000e+04,1.415679035902038834e+02,1.524787808334986039e+05
2.360000000000000000e+02,2.405576265000857195e+00,1.072790390931115475e+21,3.607604153718109607e+00,1.464361807241031344e-11,0.000000000000000000e+00,3.933340253115463257e+07,2.451739566447772086e+04,3.933340253115463257e+07,0.000000000000000000e+00,0.000000000000000000e+00,2.503936378166343570e+08,-3.802679918111321188e+32,-1.905545199680990137e+31,2.117814936795316669e+32,1.677181381036683664e+22,8.484388880707930318e+26,0.000000000000000000e+00,1.498709519323900468e+38,1.808035338271683177e+35,1.000000000000000000e+04,1.406806461872977820e+02,1.530729643233204843e+05
2.370000000000000000e+02,2.425262176255402302e+00,1.082972592272607019e+21,2.842923528726670757e+00,1.394011922597494962e-11,0.000000000000000000e+00,3.948677355161015689e+07,2.451739566447772086e+04,3.948677355161015689e+07,0.000000000000000000e+00,0.000000000000000000e+00,2.513693786032133698e+08,-3.791432839296101071e+32,-1.840958711425104728e+31,2.054524306263108711e+32,1.644119844760813830e+22,8.334337813290872829e+26,0.000000000000000000e+00,1.491371855763248311e+38,1.784597657501300712e+35,1.000000000000000000e+04,1.400075590341849647e+02,1.536694632436412794e+05
2.380000000000000000e+02,2.439445325072404636e+00,1.090719024011715019e+21,2.064407322946282708e+00,1.342518953202538893e-11,0.000000000000000000e+00,3.964074223245929927e+07,2.451739566447772086e+04,3.964074223245929927e+07,0.000000000000000000e+00,0.000000000000000000e+00,2.523489216832168400e+08,-3.788995835842303764e+32,-1.774497707234430541e+31,2.007040174412367535e+32,1.619231814736119071e+22,8.199407988714877110e+26,0.000000000000000000e+00,1.484096732553305530e+38,1.761535263088987078e+35,1.000000000000000000e+04,1.395442218267698138e+02,1.542682866172939830e+05
2.390000000000000000e+02,2.448059494048343776e+00,1.095990512236387369e+21,1.274823883017817350e+00,1.307922293031854329e-11,0.000000000000000000e+00,3.979531090268145502e+07,2.451739566447772086e+04,3.979531090268145502e+07,0.000000000000000000e+00,0.000000000000000000e+00,2.533322818735259175e+08,-3.795302533249571123e+32,-1.706413471138924478e+31,1.974264768219774073e+32,1.602120622933116610e+22,8.078893075940366760e+26,0.000000000000000000e+00,1.476882947672338330e+38,1.738841069182017605e+35,1.000000000000000000e+04,1.392876701661234620e+02,1.548694435022719554e+05
2.400000000000000000e+02,2.451056896926794515e+00,1.098755966726189482e+21,4.765483055491862019e-01,1.288963833391104128e-11,0.000000000000000000e+00,3.995048190033165365e+07,2.451739566447772086e+04,3.995048190033165365e+07,0.000000000000000000e+00,0.000000000000000000e+00,2.543194740487605929e+08,-3.810378545788771293e+32,-1.636922835596601475e+31,1.955478695694589111e+32,1.592530327716494102e+22,7.972200537889495726e+26,0.000000000000000000e+00,1.469729325268581287e+38,1.716508115189498531e+35,1.000000000000000000e+04,1.392364867822930705e+02,1.554729429918661190e+05
2.410000000000000000e+02,2.448405706056170583e+00,1.098991324166187516e+21,-3.283231652285242830e-01,1.285010551381319314e-11,0.000000000000000000e+00,4.010625757257591188e+07,2.451739566447772086e+04,4.010625757257591188e+07,0.000000000000000000e+00,0.000000000000000000e+00,2.553105131415047348e+08,-3.834345795219730957e+32,-1.566218721313860649e+31,1.950316458198854026e+32,1.590341226274548299e+22,7.878843621336133857e+26,0.000000000000000000e+00,1.462634746351708806e+38,1.694528286487088317e+35,1.000000000000000000e+04,1.393908802982958548e+02,1.560787942148022703e+05
2.420000000000000000e+02,2.440088359114838124e+00,1.096678833165300662e+21,-1.137869956969288499e+00,1.296020157365243125e-11,0.000000000000000000e+00,4.026264027572674304e+07,2.451739566447772086e+04,4.026264027572674304e+07,0.000000000000000000e+00,0.000000000000000000e+00,2.563054141425317824e+08,-3.867428078561621365e+32,-1.494479824213434492e+31,1.958756916079364161e+32,1.595569139935945635e+22,7.798443250562634944e+26,0.000000000000000000e+00,1.455598117071752517e+38,1.672893191732713609e+35,1.000000000000000000e+04,1.397527637875175230e+02,1.566870063353792648e+05
2.430000000000000000e+02,2.426100579221770470e+00,1.091806654572473221e+21,-1.950249608907372201e+00,1.322547951050424747e-11,0.000000000000000000e+00,4.041963237527882308e+07,2.451739566447772086e+04,4.041963237527882308e+07,0.000000000000000000e+00,0.000000000000000000e+00,2.573041921010318100e+08,-3.909958366835637120e+32,-1.421879977576342969e+31,1.981129044607729753e+32,1.608368760726969804e+22,7.730726249602170175e+26,0.000000000000000000e+00,1.448618204535781652e+38,1.651594173947387467e+35,1.000000000000000000e+04,1.403258416051536130e+02,1.572975885536078131e+05
