logT,logLambdaN,logLambdahd,ne_nH
5.799999999999999822e+00,-2.165480000000000160e+01,-2.157400000000000162e+01,1.204499999999999904e+00
5.839999999999999858e+00,-2.171079999999999899e+01,-2.162999999999999901e+01,1.204599999999999893e+00
5.879999999999999893e+00,-2.174239999999999995e+01,-2.166150000000000020e+01,1.204700000000000104e+00
5.919999999999999929e+00,-2.175760000000000005e+01,-2.167660000000000053e+01,1.204900000000000082e+00
5.959999999999999964e+00,-2.176960000000000051e+01,-2.168860000000000099e+01,1.205000000000000071e+00
6.000000000000000000e+00,-2.178829999999999956e+01,-2.170730000000000004e+01,1.205100000000000060e+00
6.040000000000000036e+00,-2.181149999999999878e+01,-2.173039999999999949e+01,1.205300000000000038e+00
6.080000000000000071e+00,-2.183030000000000115e+01,-2.174909999999999854e+01,1.205500000000000016e+00
6.120000000000000107e+00,-2.184189999999999898e+01,-2.176069999999999993e+01,1.205600000000000005e+00
6.160000000000000142e+00,-2.185140000000000171e+01,-2.177009999999999934e+01,1.205799999999999983e+00
6.200000000000000178e+00,-2.186899999999999977e+01,-2.178770000000000095e+01,1.205999999999999961e+00
6.240000000000000213e+00,-2.190569999999999951e+01,-2.182430000000000092e+01,1.206199999999999939e+00
6.280000000000000249e+00,-2.196900000000000119e+01,-2.188749999999999929e+01,1.206499999999999906e+00
6.320000000000000284e+00,-2.205539999999999878e+01,-2.197380000000000067e+01,1.206700000000000106e+00
6.360000000000000320e+00,-2.214880000000000138e+01,-2.206709999999999994e+01,1.207000000000000073e+00
6.400000000000000355e+00,-2.223549999999999827e+01,-2.215370000000000061e+01,1.207200000000000051e+00
6.440000000000000391e+00,-2.230839999999999890e+01,-2.222650000000000148e+01,1.207500000000000018e+00
6.480000000000000426e+00,-2.236410000000000053e+01,-2.228209999999999980e+01,1.207699999999999996e+00
6.519999999999999574e+00,-2.240330000000000155e+01,-2.232130000000000081e+01,1.207799999999999985e+00
6.559999999999999609e+00,-2.242820000000000036e+01,-2.234619999999999962e+01,1.207899999999999974e+00
6.599999999999999645e+00,-2.244079999999999941e+01,-2.235869999999999891e+01,1.207999999999999963e+00
6.639999999999999680e+00,-2.244429999999999836e+01,-2.236220000000000141e+01,1.208099999999999952e+00
6.679999999999999716e+00,-2.244109999999999872e+01,-2.235900000000000176e+01,1.208199999999999941e+00
6.719999999999999751e+00,-2.243339999999999890e+01,-2.235119999999999862e+01,1.208299999999999930e+00
6.759999999999999787e+00,-2.242419999999999902e+01,-2.234199999999999875e+01,1.208299999999999930e+00
6.799999999999999822e+00,-2.241639999999999944e+01,-2.233419999999999916e+01,1.208399999999999919e+00
6.839999999999999858e+00,-2.241339999999999932e+01,-2.233119999999999905e+01,1.208399999999999919e+00
6.879999999999999893e+00,-2.241679999999999851e+01,-2.233459999999999823e+01,1.208499999999999908e+00
6.919999999999999929e+00,-2.242670000000000030e+01,-2.234450000000000003e+01,1.208499999999999908e+00
6.959999999999999964e+00,-2.244180000000000064e+01,-2.235950000000000060e+01,1.208599999999999897e+00
7.000000000000000000e+00,-2.246030000000000015e+01,-2.237800000000000011e+01,1.208599999999999897e+00
7.040000000000000036e+00,-2.248300000000000054e+01,-2.240070000000000050e+01,1.208700000000000108e+00
7.080000000000000071e+00,-2.251119999999999877e+01,-2.242889999999999873e+01,1.208700000000000108e+00
7.120000000000000107e+00,-2.254489999999999839e+01,-2.246249999999999858e+01,1.208800000000000097e+00
7.160000000000000142e+00,-2.258190000000000097e+01,-2.249950000000000117e+01,1.208800000000000097e+00
7.200000000000000178e+00,-2.261769999999999925e+01,-2.253529999999999944e+01,1.208900000000000086e+00
7.240000000000000213e+00,-2.264829999999999899e+01,-2.256589999999999918e+01,1.208900000000000086e+00
7.280000000000000249e+00,-2.267190000000000083e+01,-2.258950000000000102e+01,1.208900000000000086e+00
7.320000000000000284e+00,-2.268830000000000169e+01,-2.260589999999999833e+01,1.208900000000000086e+00
7.360000000000000320e+00,-2.269849999999999923e+01,-2.261609999999999943e+01,1.208900000000000086e+00
7.400000000000000355e+00,-2.270319999999999894e+01,-2.262079999999999913e+01,1.209000000000000075e+00
7.440000000000000391e+00,-2.270370000000000132e+01,-2.262130000000000152e+01,1.209000000000000075e+00
7.480000000000000426e+00,-2.270080000000000098e+01,-2.261840000000000117e+01,1.209000000000000075e+00
7.519999999999999574e+00,-2.269500000000000028e+01,-2.261260000000000048e+01,1.209000000000000075e+00
