fig5_f1 M=4.64e+10: completed_cycle; SF=4.172378012332719; quench=334.9716143897182; 0.700s; cached=False
fig5_f1 M=6.81e+10: completed_cycle; SF=4.844941498114923; quench=341.50012207477926; 0.694s; cached=False
fig5_f1 M=1e+11: completed_cycle; SF=5.628610613689587; quench=309.47378864348576; 0.650s; cached=False
fig5_f1 M=1.47e+11: completed_cycle; SF=6.540957866041718; quench=280.78384315970476; 0.579s; cached=False
fig5_f1 M=2.15e+11: completed_cycle; SF=7.602001925778307; quench=255.25359436958232; 0.531s; cached=False
fig5_f1 M=3.16e+11: completed_cycle; SF=8.834519638312576; quench=232.46825226698428; 0.504s; cached=False
fig5_f1 M=4.64e+11: completed_cycle; SF=10.264258986319522; quench=211.95490903342605; 0.478s; cached=False
fig5_f1 M=6.81e+11: completed_cycle; SF=11.920279133012688; quench=193.35239213029675; 0.446s; cached=False
fig5_f1 M=1e+12: completed_cycle; SF=13.835354060199798; quench=156.89832672650076; 0.373s; cached=False
fig5_f1 M=1.47e+12: completed_cycle; SF=16.046465030709708; quench=141.88226097387212; 0.355s; cached=False
fig5_f1 M=2.15e+12: completed_cycle; SF=18.595506122884967; quench=128.53185330333443; 0.350s; cached=False
fig5_f1 M=3.16e+12: completed_cycle; SF=21.53051194319355; quench=99.2381420503546; 0.305s; cached=False
fig5_f1 M=4.64e+12: completed_cycle; SF=24.907486012538183; quench=88.608100214987; 0.274s; cached=False
fig5_f1 M=6.81e+12: completed_cycle; SF=28.793705097360327; quench=65.67423675791456; 0.239s; cached=False
fig5_f1 M=1e+13: completed_cycle; SF=33.2733464657305; quench=56.19486724707123; 0.229s; cached=False
fig5_mc1 M=1e+08: completed_cycle; SF=1.06146089239041; quench=579.4104365852838; 1.116s; cached=False
fig5_mc1 M=1.47e+08: completed_cycle; SF=1.2165771663922265; quench=530.6124029612073; 1.079s; cached=False
fig5_mc1 M=2.15e+08: completed_cycle; SF=1.398039649465304; quench=483.0805614124969; 0.963s; cached=False
fig5_mc1 M=3.16e+08: completed_cycle; SF=1.6105377706475765; quench=556.5266183000895; 1.107s; cached=False
fig5_mc1 M=4.64e+08: completed_cycle; SF=1.8595818387086196; quench=508.06292293097624; 0.985s; cached=False
fig5_mc1 M=6.81e+08: completed_cycle; SF=2.1517656698046346; quench=461.2192626388964; 0.906s; cached=False
fig5_mc1 M=1e+09: completed_cycle; SF=2.4948402390257627; quench=416.5968010782666; 0.818s; cached=False
fig5_mc1 M=1.47e+09: completed_cycle; SF=2.8980973500339022; quench=438.2363274414587; 0.850s; cached=False
fig5_mc1 M=2.15e+09: completed_cycle; SF=3.372530788461121; quench=396.53705251937896; 0.819s; cached=False
