fig2 M=1e+08: completed_cycle; SF=5.599836353178653; quench=297.46478892895925; 0.821s; cached=True
fig5_mc1 M=6.81e+10: numerical_failure; SF=None; quench=None; 0.115s; cached=False
fig5_mc1 M=1e+11: numerical_failure; SF=None; quench=None; 0.120s; cached=False
fig5_mc1 M=1.47e+11: numerical_failure; SF=None; quench=None; 0.120s; cached=False
fig5_mc1 M=2.15e+11: numerical_failure; SF=None; quench=None; 0.128s; cached=False
fig5_mc1 M=3.16e+11: numerical_failure; SF=None; quench=None; 0.137s; cached=False
fig5_mc1 M=4.64e+11: numerical_failure; SF=None; quench=None; 0.139s; cached=False
fig5_mc1 M=6.81e+11: numerical_failure; SF=None; quench=None; 0.145s; cached=False
fig5_mc1 M=1e+12: numerical_failure; SF=None; quench=None; 0.155s; cached=False
fig5_mc1 M=1.47e+12: numerical_failure; SF=None; quench=None; 0.190s; cached=False
fig5_mc1 M=2.15e+12: numerical_failure; SF=None; quench=None; 0.188s; cached=False
fig5_mc1 M=3.16e+12: numerical_failure; SF=None; quench=None; 0.275s; cached=False
fig5_mc1 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.229s; cached=False
fig5_mc1 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.230s; cached=False
fig5_mc1 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.225s; cached=False
fig5_mc5 M=1e+08: numerical_failure; SF=None; quench=None; 0.072s; cached=False
fig5_mc5 M=1.47e+08: numerical_failure; SF=None; quench=None; 0.071s; cached=False
fig5_mc5 M=2.15e+08: numerical_failure; SF=None; quench=None; 0.069s; cached=False
fig5_mc5 M=3.16e+08: numerical_failure; SF=None; quench=None; 0.070s; cached=False
fig5_mc5 M=4.64e+08: numerical_failure; SF=None; quench=None; 0.075s; cached=False
fig5_mc5 M=6.81e+08: numerical_failure; SF=None; quench=None; 0.078s; cached=False
fig5_mc5 M=1e+09: numerical_failure; SF=None; quench=None; 0.080s; cached=False
fig5_mc5 M=1.47e+09: numerical_failure; SF=None; quench=None; 0.085s; cached=False
fig5_mc5 M=2.15e+09: numerical_failure; SF=None; quench=None; 0.090s; cached=False
fig5_mc5 M=3.16e+09: numerical_failure; SF=None; quench=None; 0.093s; cached=False
fig5_mc5 M=4.64e+09: numerical_failure; SF=None; quench=None; 0.098s; cached=False
fig5_mc5 M=6.81e+09: numerical_failure; SF=None; quench=None; 0.097s; cached=False
fig5_mc5 M=1e+10: numerical_failure; SF=None; quench=None; 0.100s; cached=False
fig5_mc5 M=1.47e+10: numerical_failure; SF=None; quench=None; 0.105s; cached=False
fig5_mc5 M=2.15e+10: numerical_failure; SF=None; quench=None; 0.103s; cached=False
fig5_mc5 M=3.16e+10: numerical_failure; SF=None; quench=None; 0.107s; cached=False
fig5_mc5 M=4.64e+10: numerical_failure; SF=None; quench=None; 0.107s; cached=False
fig5_mc5 M=6.81e+10: numerical_failure; SF=None; quench=None; 0.106s; cached=False
fig5_mc5 M=1e+11: numerical_failure; SF=None; quench=None; 0.108s; cached=False
fig5_mc5 M=1.47e+11: numerical_failure; SF=None; quench=None; 0.113s; cached=False
fig5_mc5 M=2.15e+11: numerical_failure; SF=None; quench=None; 0.118s; cached=False
fig5_mc5 M=3.16e+11: numerical_failure; SF=None; quench=None; 0.118s; cached=False
fig5_mc5 M=4.64e+11: numerical_failure; SF=None; quench=None; 0.135s; cached=False
fig5_mc5 M=6.81e+11: numerical_failure; SF=None; quench=None; 0.141s; cached=False
fig5_mc5 M=1e+12: numerical_failure; SF=None; quench=None; 0.134s; cached=False
fig5_mc5 M=1.47e+12: numerical_failure; SF=None; quench=None; 0.144s; cached=False
fig5_mc5 M=2.15e+12: numerical_failure; SF=None; quench=None; 0.162s; cached=False
fig5_mc5 M=3.16e+12: numerical_failure; SF=None; quench=None; 0.184s; cached=False
fig5_mc5 M=4.64e+12: numerical_failure; SF=None; quench=None; 0.174s; cached=False
fig5_mc5 M=6.81e+12: numerical_failure; SF=None; quench=None; 0.197s; cached=False
fig5_mc5 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.234s; cached=False
fig8_f001_c1 M=1e+08: completed_cycle; SF=5.599836353178653; quench=297.46478892895925; 0.859s; cached=False
fig8_f001_c1 M=1.47e+08: completed_cycle; SF=6.596757886969649; quench=271.57880570776774; 0.804s; cached=False
fig8_f001_c1 M=2.15e+08: completed_cycle; SF=7.783772452899176; quench=248.5887119923863; 0.717s; cached=False
fig8_f001_c1 M=3.16e+08: completed_cycle; SF=9.199888271785644; quench=227.98214463045008; 0.681s; cached=False
fig8_f001_c1 M=4.64e+08: completed_cycle; SF=10.893240092878509; quench=209.35419135643667; 0.643s; cached=False
fig8_f001_c1 M=6.81e+08: numerical_failure; SF=None; quench=None; 0.122s; cached=False
fig8_f001_c1 M=1e+09: numerical_failure; SF=None; quench=None; 0.119s; cached=False
fig8_f001_c1 M=1.47e+09: numerical_failure; SF=None; quench=None; 0.125s; cached=False
fig8_f001_c1 M=2.15e+09: numerical_failure; SF=None; quench=None; 0.128s; cached=False
fig8_f001_c1 M=3.16e+09: numerical_failure; SF=None; quench=None; 0.140s; cached=False
fig8_f001_c1 M=4.64e+09: numerical_failure; SF=None; quench=None; 0.146s; cached=False
fig8_f001_c1 M=6.81e+09: numerical_failure; SF=None; quench=None; 0.166s; cached=False
fig8_f001_c1 M=1e+10: numerical_failure; SF=None; quench=None; 0.160s; cached=False
fig8_f001_c1 M=1.47e+10: numerical_failure; SF=None; quench=None; 0.171s; cached=False
fig8_f001_c1 M=2.15e+10: numerical_failure; SF=None; quench=None; 0.193s; cached=False
fig8_f001_c1 M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.230s; cached=False
fig8_f001_c1 M=4.64e+10: not_launched_within_window; SF=None; quench=None; 0.223s; cached=False
fig8_f001_c1 M=6.81e+10: not_launched_within_window; SF=None; quench=None; 0.223s; cached=False
fig8_f001_c1 M=1e+11: not_launched_within_window; SF=None; quench=None; 0.223s; cached=False
fig8_f001_c1 M=1.47e+11: not_launched_within_window; SF=None; quench=None; 0.228s; cached=False
fig8_f001_c1 M=2.15e+11: not_launched_within_window; SF=None; quench=None; 0.222s; cached=False
fig8_f001_c1 M=3.16e+11: not_launched_within_window; SF=None; quench=None; 0.218s; cached=False
fig8_f001_c1 M=4.64e+11: not_launched_within_window; SF=None; quench=None; 0.228s; cached=False
fig8_f001_c1 M=6.81e+11: not_launched_within_window; SF=None; quench=None; 0.222s; cached=False
fig8_f001_c1 M=1e+12: not_launched_within_window; SF=None; quench=None; 0.223s; cached=False
fig8_f001_c1 M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.222s; cached=False
fig8_f001_c1 M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.220s; cached=False
fig8_f001_c1 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.251s; cached=False
fig8_f001_c1 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.226s; cached=False
fig8_f001_c1 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.220s; cached=False
fig8_f001_c1 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.225s; cached=False
fig8_f001_c01 M=1e+08: completed_cycle; SF=6.164914160088999; quench=105.45686994632553; 0.379s; cached=False
fig8_f001_c01 M=1.47e+08: completed_cycle; SF=7.266335994849112; quench=96.10317689983049; 0.343s; cached=False
fig8_f001_c01 M=2.15e+08: completed_cycle; SF=8.578863895398015; quench=72.3993615415366; 0.286s; cached=False
fig8_f001_c01 M=3.16e+08: numerical_failure; SF=None; quench=None; 0.117s; cached=False
fig8_f001_c01 M=4.64e+08: numerical_failure; SF=None; quench=None; 0.127s; cached=False
fig8_f001_c01 M=6.81e+08: numerical_failure; SF=None; quench=None; 0.121s; cached=False
fig8_f001_c01 M=1e+09: numerical_failure; SF=None; quench=None; 0.119s; cached=False
fig8_f001_c01 M=1.47e+09: numerical_failure; SF=None; quench=None; 0.130s; cached=False
fig8_f001_c01 M=2.15e+09: numerical_failure; SF=None; quench=None; 0.142s; cached=False
fig8_f001_c01 M=3.16e+09: numerical_failure; SF=None; quench=None; 0.155s; cached=False
fig8_f001_c01 M=4.64e+09: numerical_failure; SF=None; quench=None; 0.164s; cached=False
fig8_f001_c01 M=6.81e+09: numerical_failure; SF=None; quench=None; 0.156s; cached=False
fig8_f001_c01 M=1e+10: numerical_failure; SF=None; quench=None; 0.166s; cached=False
fig8_f001_c01 M=1.47e+10: numerical_failure; SF=None; quench=None; 0.181s; cached=False
fig8_f001_c01 M=2.15e+10: numerical_failure; SF=None; quench=None; 0.210s; cached=False
fig8_f001_c01 M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.221s; cached=False
fig8_f001_c01 M=4.64e+10: not_launched_within_window; SF=None; quench=None; 0.223s; cached=False
fig8_f001_c01 M=6.81e+10: not_launched_within_window; SF=None; quench=None; 0.223s; cached=False
fig8_f001_c01 M=1e+11: not_launched_within_window; SF=None; quench=None; 0.220s; cached=False
fig8_f001_c01 M=1.47e+11: not_launched_within_window; SF=None; quench=None; 0.224s; cached=False
fig8_f001_c01 M=2.15e+11: not_launched_within_window; SF=None; quench=None; 0.225s; cached=False
fig8_f001_c01 M=3.16e+11: not_launched_within_window; SF=None; quench=None; 0.218s; cached=False
fig8_f001_c01 M=4.64e+11: not_launched_within_window; SF=None; quench=None; 0.218s; cached=False
fig8_f001_c01 M=6.81e+11: not_launched_within_window; SF=None; quench=None; 0.227s; cached=False
fig8_f001_c01 M=1e+12: not_launched_within_window; SF=None; quench=None; 0.220s; cached=False
fig8_f001_c01 M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.219s; cached=False
fig8_f001_c01 M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.223s; cached=False
fig8_f001_c01 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.215s; cached=False
fig8_f001_c01 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.222s; cached=False
fig8_f001_c01 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.220s; cached=False
fig8_f001_c01 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.223s; cached=False
fig8_f001_c005 M=1e+08: completed_cycle; SF=6.762697563462058; quench=58.17819540471717; 0.256s; cached=False
fig8_f001_c005 M=1.47e+08: completed_cycle; SF=7.975582474842977; quench=49.88607928956817; 0.265s; cached=False
fig8_f001_c005 M=2.15e+08: numerical_failure; SF=None; quench=None; 0.116s; cached=False
fig8_f001_c005 M=3.16e+08: numerical_failure; SF=None; quench=None; 0.119s; cached=False
fig8_f001_c005 M=4.64e+08: numerical_failure; SF=None; quench=None; 0.117s; cached=False
fig8_f001_c005 M=6.81e+08: numerical_failure; SF=None; quench=None; 0.124s; cached=False
fig8_f001_c005 M=1e+09: numerical_failure; SF=None; quench=None; 0.123s; cached=False
fig8_f001_c005 M=1.47e+09: numerical_failure; SF=None; quench=None; 0.128s; cached=False
fig8_f001_c005 M=2.15e+09: numerical_failure; SF=None; quench=None; 0.135s; cached=False
fig8_f001_c005 M=3.16e+09: numerical_failure; SF=None; quench=None; 0.146s; cached=False
fig8_f001_c005 M=4.64e+09: numerical_failure; SF=None; quench=None; 0.168s; cached=False
fig8_f001_c005 M=6.81e+09: numerical_failure; SF=None; quench=None; 0.166s; cached=False
fig8_f001_c005 M=1e+10: numerical_failure; SF=None; quench=None; 0.203s; cached=False
fig8_f001_c005 M=1.47e+10: numerical_failure; SF=None; quench=None; 0.190s; cached=False
fig8_f001_c005 M=2.15e+10: not_launched_within_window; SF=None; quench=None; 0.226s; cached=False
fig8_f001_c005 M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.221s; cached=False
fig8_f001_c005 M=4.64e+10: not_launched_within_window; SF=None; quench=None; 0.220s; cached=False
fig8_f001_c005 M=6.81e+10: not_launched_within_window; SF=None; quench=None; 0.226s; cached=False
fig8_f001_c005 M=1e+11: not_launched_within_window; SF=None; quench=None; 0.221s; cached=False
fig8_f001_c005 M=1.47e+11: not_launched_within_window; SF=None; quench=None; 0.224s; cached=False
fig8_f001_c005 M=2.15e+11: not_launched_within_window; SF=None; quench=None; 0.225s; cached=False
