fig8_f01_c1 M=7.5e+09: numerical_failure; SF=None; quench=None; 0.083s; cached=False
fig8_f01_c1 M=3.16e+10: completed_cycle; SF=13.256013104738122; quench=1.0004195054591491e-06; 0.071s; cached=False
fig8_f01_c1 M=1.33e+11: numerical_failure; SF=None; quench=None; 0.090s; cached=False
fig8_f01_c1 M=5.62e+11: numerical_failure; SF=None; quench=None; 0.115s; cached=False
fig8_f01_c1 M=2.37e+12: not_launched_within_window; SF=None; quench=None; 0.141s; cached=False
fig8_f01_c1 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.133s; cached=False
fig8_f01_c01 M=1e+08: numerical_failure; SF=None; quench=None; 0.062s; cached=False
fig8_f01_c01 M=4.22e+08: numerical_failure; SF=None; quench=None; 0.068s; cached=False
fig8_f01_c01 M=1.78e+09: numerical_failure; SF=None; quench=None; 0.079s; cached=False
fig8_f01_c01 M=7.5e+09: numerical_failure; SF=None; quench=None; 0.084s; cached=False
fig8_f01_c01 M=3.16e+10: numerical_failure; SF=None; quench=None; 0.087s; cached=False
fig8_f01_c01 M=1.33e+11: numerical_failure; SF=None; quench=None; 0.094s; cached=False
fig8_f01_c01 M=5.62e+11: numerical_failure; SF=None; quench=None; 0.124s; cached=False
fig8_f01_c01 M=2.37e+12: not_launched_within_window; SF=None; quench=None; 0.135s; cached=False
fig8_f01_c01 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.137s; cached=False
fig8_f01_c005 M=1e+08: numerical_failure; SF=None; quench=None; 0.060s; cached=False
fig8_f01_c005 M=4.22e+08: completed_cycle; SF=2.2238930072451555; quench=1.022912575532331e-06; 0.051s; cached=False
fig8_f01_c005 M=1.78e+09: numerical_failure; SF=None; quench=None; 0.080s; cached=False
fig8_f01_c005 M=7.5e+09: numerical_failure; SF=None; quench=None; 0.089s; cached=False
fig8_f01_c005 M=3.16e+10: numerical_failure; SF=None; quench=None; 0.090s; cached=False
fig8_f01_c005 M=1.33e+11: numerical_failure; SF=None; quench=None; 0.096s; cached=False
fig8_f01_c005 M=5.62e+11: completed_cycle; SF=80.84985389246543; quench=1.0004532242646746e-06; 0.133s; cached=False
fig8_f01_c005 M=2.37e+12: not_launched_within_window; SF=None; quench=None; 0.137s; cached=False
fig8_f01_c005 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.131s; cached=False
fig8_f01_c0005 M=1e+08: numerical_failure; SF=None; quench=None; 0.076s; cached=False
fig8_f01_c0005 M=4.22e+08: numerical_failure; SF=None; quench=None; 0.080s; cached=False
fig8_f01_c0005 M=1.78e+09: numerical_failure; SF=None; quench=None; 0.086s; cached=False
fig8_f01_c0005 M=7.5e+09: numerical_failure; SF=None; quench=None; 0.094s; cached=False
fig8_f01_c0005 M=3.16e+10: numerical_failure; SF=None; quench=None; 0.106s; cached=False
fig8_f01_c0005 M=1.33e+11: not_launched_within_window; SF=None; quench=None; 0.128s; cached=False
fig8_f01_c0005 M=5.62e+11: not_launched_within_window; SF=None; quench=None; 0.138s; cached=False
fig8_f01_c0005 M=2.37e+12: not_launched_within_window; SF=None; quench=None; 0.134s; cached=False
fig8_f01_c0005 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.129s; cached=False
fig8_f01_lowgas M=1e+08: completed_cycle; SF=1.3652807628774095; quench=271.81654458915835; 0.522s; cached=False
fig8_f01_lowgas M=4.22e+08: completed_cycle; SF=2.469411585467706; quench=203.38939607581037; 0.389s; cached=False
fig8_f01_lowgas M=1.78e+09: numerical_failure; SF=None; quench=None; 0.077s; cached=False
fig8_f01_lowgas M=7.5e+09: numerical_failure; SF=None; quench=None; 0.082s; cached=False
fig8_f01_lowgas M=3.16e+10: numerical_failure; SF=None; quench=None; 0.093s; cached=False
fig8_f01_lowgas M=1.33e+11: completed_cycle; SF=39.27028415529062; quench=1.0005192905282456e-06; 0.099s; cached=False
fig8_f01_lowgas M=5.62e+11: not_launched_within_window; SF=None; quench=None; 0.141s; cached=False
fig8_f01_lowgas M=2.37e+12: not_launched_within_window; SF=None; quench=None; 0.142s; cached=False
fig8_f01_lowgas M=1e+13: not_launched_within_window; SF=None; quench=None; 0.134s; cached=False
Total elapsed 14.427s; cache hits 1; /home/zhuhourui/AstroCode/AuroraLF/miniquench_reproduction/data/curves/summary_quick_full_approx.json
